family,parameter_name,parameter_value,historical_status,historical_all_frozen_gates,corrected_numerical_pass,corrected_boundary_invariants_pass,corrected_structural_zero_pass,corrected_C8_C10_pass,frozen_evidence_complete,corrected_eligible,readjudication_status,reason,D29_LRV_NSV_SRE_used_for_binary_eligibility,selection_or_ranking_performed
v2.2,kappa,0.1,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.2,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.3,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.4,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.5,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.6,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.7,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.8,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,0.9,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
v2.2,kappa,1.0,FAILED,False,True,True,True,,False,,INSUFFICIENT_FROZEN_EVIDENCE,Frozen artifact set does not establish C8-C10 invariance.,False,False
